keyword,title,link,summary,date
LG 에너지솔루션,"LG엔솔, 호주 리튬 광산 투자…전기차 500만대분 확보",http://news.mt.co.kr/mtview.php?no=2024070213310478624, LG에너지솔루션은 호주 리튬 광산 기업 라이온타운(Liontown Resources Ltd.)과 대규모 리튬 정광 공급 및 전환사채 투자 계약을 체결했다고 2일 밝혔다. 리튬 정광은 리튬 광석을 가공해 농축한 고순도 원자재다. 고용량 전기차 배터리의 핵심 원료인 수산화리튬의 원료가 된다. LG에너지솔루션은 계약을... ,2024-07-02
LG 에너지솔루션,"LG에너지솔루션, 호주 리튬 정광 175만톤 계약…전기차 500만대 분량",https://news.mtn.co.kr/news-detail/2024070213363161933, LG에너지솔루션이 호주 리튬 광산 업체에 대한 대규모 투자로 핵심 원재료 글로벌 공급망 펀더멘탈(기초체력)을 더욱 강화한다.LG에너지솔루션은 호주 리튬 광산 업체 라이온타운과 대규모 리튬 정광 공급 및 전환사채 투자 계약을 체결했다고 2일 밝혔다. 리튬 정광은 리튬 광석을 가공해 농축한 고순도... ,2024-07-02
LG 에너지솔루션,"LG에너지솔루션, 전기차 LFP 첫 수주",https://www.electimes.com/news/articleView.html?idxno=339631," LG에너지솔루션이 전기차용 LFP(리튬인산철) 배터리 첫 대규모 수주에 성공했다. LG에너지솔루션은 1일(현지시간)르노(Renault)의 전기차 부문 '암페어(Ampere)'와 프랑스 파리에 위치한 르노 본사에서 서원준 LG에너지솔루션 자동차전지 사업부장 부사장, 최승돈 자동차개발센터장 부사장, 프랑스아 프로보... ",2024-07-02
LG 에너지솔루션,"LG엔솔, 호주 리튬 광산에 투자… 전기차 500만대분 확보",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202407020209&t=NN, LG에너지솔루션이 호주 리튬 광산 업체 라이온타운(Liontown Resources Ltd.)과 대규모 리튬 정광 공급 및 전환사채 투자 계약을 체결했다고 2일 밝혔다. 리튬 정광은 리튬 광석을 가공해 농축한 고순도 원자재로 고용량 전기차 배터리의 핵심 원료인 수산화리튬의 원료다. LG에너지솔루션은 본 계약으로... ,2024-07-02
LG 에너지솔루션,"LG엔솔, LFP 배터리 첫 대규모 수주",https://dealsite.co.kr/articles/124766, 국내 배터리 업체 중 차량용 LFP 공급 계약 최초 LG에너지솔루션(LG엔솔)이 전기차용 리튬인산철(LFP) 배터리 대규모 수주에 성공했다. 이번 계약은 LG엔솔이 글로벌 자동차 3대 시장 중 하나인 유럽에서 중국 기업의 주력 제품군을 뚫었다는 데 의미가 깊다. 이에 LG엔솔의 시장 경쟁력도 한층 강화될... ,2024-07-02
LG 에너지솔루션,"LG엔솔, 호주 리튬 정광 175만톤 확보…원재료 공급망 강화",http://news.tf.co.kr/read/economy/2112075.htm," 김동명 사장 ""시장 불확실성 대응해 원재료 안정적 공급"" LG에너지솔루션이 호주 리튬 광산 업체를 통해 리튬 정광 175만톤(t)을 확보한다. LG에너지솔루션은 호주 리튬 광산 업체 라이온타운과 대규모 리튬 정광 공급 및 전환사채 투자 계약을 체결했다고 2일 밝혔다. 리튬 정광은 리튬 광석을 가공해 농축한... ",2024-07-02
LG 에너지솔루션,"LG엔솔, 전기차 LFP 첫 수주...“중국 텃밭 뚫었다”",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202407020093&t=NNv, LG에너지솔루션이 국내 배터리 기업 최초로 전기차용 LFP 배터리 수주에 성공했습니다. 그동안 중국 기업들이 장악하고 있던 전기차용 LFP 시장을 뚫은 만큼 시장 경쟁력을 강화하는 계기가 될 전망입니다. 배창학 기자입니다. <기자> LG에너지솔루션이 유럽 완성차 업체 르노로부터 전기차용 LFP 배터리... ,2024-07-02
LG 에너지솔루션,"LG에너지솔루션, '전기차용 LFP배터리' 첫 대규모 수주",http://www.m-i.kr/news/articleView.html?idxno=1135978, LG에너지솔루션 폴란드 브로츠와프 공장. 제공=LG에너지솔루션 매일일보 = 이미현 기자 | LG에너지솔루션이 전기차용 LFP(리튬인산철) 배터리 첫 대규모 수주에 성공했다. LG에너지솔루션은 1일(현지시간) 르노의 전기차 부문 '암페어(Ampere)'와 프랑스 파리에 위치한 르노 본사에서 LG에너지솔루션... ,2024-07-02
LG 에너지솔루션,"LG엔솔, 호주 리튬 광산 대규모 투자…""고품질 원료 확보""",https://weekly.hankooki.com/news/articleView.html?idxno=7091023, LG에너지솔루션이 호주 기업에 대규모 투자를 통해 핵심 원재료 글로벌 공급망의 펀더멘탈(기초체력)을 더 강화한다. LG에너지솔루션은 2일 호주 리튬 광산 기업 라이온타운과 대규모 리튬 정광 공급 및 전환사채 투자 계약을 체결했다고 밝혔다. 리튬 정광은 리튬 광석을 가공해 농축한 고순도 원자재로... ,2024-07-02
LG 에너지솔루션,"LG엔솔, 르노에 LFP 배터리 공급… 전기차 59만대 규모",https://biz.newdaily.co.kr/site/data/html/2024/07/02/2024070200013.html, 뉴데일리 김병욱 기자 = LG에너지솔루션이 전기차용 LFP(리튬인산철) 배터리 첫 대규모 수주에 성공했다. 1일(현지시간) LG에너지솔루션은 르노(Renault)의 전기차 부문 ‘암페어(Ampere)’와 프랑스 파리에 위치한 르노 본사에서 전기차용 파우치 LFP 배터리 공급계약을 체결했다고 밝혔다. 체결식에는 서원준... ,2024-07-02
