"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 07- 12","262.62","253.52","264.00","251.89","18.89M","3.78%"
"2024- 07- 11","253.06","255.00","256.26","251.68","10.04M","0.22%"
"2024- 07- 10","252.50","252.49","256.53","251.50","10.93M","-0.04%"
"2024- 07- 09","252.60","245.20","253.51","241.51","14.08M","3.11%"
"2024- 07- 08","244.99","241.80","248.22","241.18","10.54M","1.22%"
"2024- 07- 05","242.03","243.17","244.50","238.88","9.57M","-1.06%"
"2024- 07- 04","244.63","245.00","249.69","244.50","9.92M","0.63%"
"2024- 07- 03","243.10","243.96","245.38","240.00","9.66M","-0.36%"
"2024- 07- 02","243.97","246.87","247.70","243.05","10.26M","-1.15%"
"2024- 07- 01","246.80","250.25","251.85","242.50","12.93M","-1.38%"
