"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 08- 26","213.21","218.75","219.09","211.01","59.30M","-3.23%"
"2024- 08- 23","220.32","214.46","221.48","214.21","81.53M","4.59%"
"2024- 08- 22","210.66","223.82","224.80","210.32","79.51M","-5.65%"
"2024- 08- 21","223.27","222.67","224.66","218.86","70.15M","0.98%"
"2024- 08- 20","221.10","224.88","228.22","219.56","74.00M","-0.73%"
"2024- 08- 19","222.72","217.07","222.98","214.09","76.44M","3.05%"
"2024- 08- 16","216.12","211.15","219.80","210.80","88.77M","0.92%"
"2024- 08- 15","214.14","205.02","215.88","204.82","89.85M","6.34%"
"2024- 08- 14","201.38","207.39","208.44","198.75","70.25M","-3.10%"
"2024- 08- 13","207.83","198.47","208.49","197.06","76.25M","5.24%"
"2024- 08- 12","197.49","199.02","199.26","194.67","64.05M","-1.25%"
"2024- 08- 09","200.00","197.05","200.88","195.11","58.65M","0.58%"
"2024- 08- 08","198.84","195.70","200.70","192.04","65.03M","3.69%"
"2024- 08- 07","191.76","200.77","203.49","191.48","71.16M","-4.43%"
"2024- 08- 06","200.64","200.75","202.90","192.67","73.78M","0.88%"
"2024- 08- 05","198.88","185.22","203.88","182.00","100.31M","-4.23%"
"2024- 08- 02","207.67","214.88","216.13","205.78","82.88M","-4.24%"
"2024- 08- 01","216.86","227.69","231.87","214.33","83.86M","-6.55%"
"2024- 07- 31","232.07","227.90","234.68","226.79","67.50M","4.24%"
"2024- 07- 30","222.62","232.25","232.41","220.00","100.56M","-4.08%"
"2024- 07- 29","232.10","224.90","234.27","224.70","129.20M","5.60%"
"2024- 07- 26","219.80","221.19","222.28","215.33","94.60M","-0.20%"
"2024- 07- 25","220.25","216.80","226.00","216.23","100.64M","1.97%"
"2024- 07- 24","215.99","225.42","225.99","214.71","167.94M","-12.33%"
"2024- 07- 23","246.38","253.60","255.76","245.63","111.93M","-2.04%"
"2024- 07- 22","251.51","244.21","253.21","243.75","101.23M","5.15%"
"2024- 07- 19","239.20","247.79","249.44","236.83","87.40M","-4.02%"
"2024- 07- 18","249.23","251.09","257.14","247.20","110.87M","0.29%"
"2024- 07- 17","248.50","252.73","258.47","246.18","115.59M","-3.14%"
"2024- 07- 16","256.56","255.31","258.62","245.80","126.33M","1.55%"
"2024- 07- 15","252.64","255.97","265.60","251.73","146.91M","1.78%"
"2024- 07- 12","248.23","235.80","251.84","233.09","155.96M","2.99%"
"2024- 07- 11","241.03","263.30","271.00","239.65","221.71M","-8.44%"
"2024- 07- 10","263.26","262.80","267.59","257.86","128.52M","0.35%"
"2024- 07- 09","262.33","251.00","265.61","250.30","160.74M","3.71%"
"2024- 07- 08","252.94","247.71","259.44","244.57","157.22M","0.56%"
"2024- 07- 05","251.52","249.81","252.37","242.46","154.50M","2.08%"
"2024- 07- 03","246.39","234.56","248.35","234.25","166.56M","6.54%"
"2024- 07- 02","231.26","218.89","231.30","218.06","205.05M","10.20%"
"2024- 07- 01","209.86","201.02","213.23","200.85","135.69M","6.05%"
