"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 07- 23","1,271.0","1,265.5","1,282.0","1,260.0","8.91M","-0.04%"
"2024- 07- 22","1,271.5","1,300.0","1,300.5","1,270.0","8.68M","-1.62%"
"2024- 07- 19","1,292.5","1,312.0","1,315.0","1,282.0","11.39M","-1.93%"
"2024- 07- 18","1,318.0","1,320.0","1,330.5","1,313.0","7.52M","-1.16%"
"2024- 07- 17","1,333.5","1,317.0","1,333.5","1,315.5","7.86M","2.11%"
"2024- 07- 16","1,306.0","1,334.5","1,336.5","1,297.0","11.92M","-2.54%"
"2024- 07- 12","1,340.0","1,331.0","1,349.0","1,329.5","7.00M","-1.03%"
"2024- 07- 11","1,354.0","1,325.0","1,358.0","1,324.0","10.85M","2.93%"
"2024- 07- 10","1,315.5","1,315.0","1,316.0","1,302.5","8.90M","-0.27%"
"2024- 07- 09","1,319.0","1,318.0","1,322.0","1,305.5","8.46M","-0.57%"
"2024- 07- 08","1,326.5","1,325.0","1,329.0","1,313.5","5.23M","-0.11%"
"2024- 07- 05","1,328.0","1,333.5","1,342.0","1,324.5","6.94M","0.26%"
"2024- 07- 04","1,324.5","1,313.0","1,329.0","1,305.5","8.43M","1.49%"
"2024- 07- 03","1,305.0","1,306.0","1,307.0","1,294.0","9.76M","-1.36%"
"2024- 07- 02","1,323.0","1,317.5","1,326.0","1,310.5","7.95M","0.38%"
"2024- 07- 01","1,318.0","1,333.5","1,334.0","1,314.5","7.92M","0.08%"
