날짜,종가,시가,고가,저가,거래량,변동 %,기업명
2024-12-27,236.3327674023769,231.57894736842104,238.03056027164686,231.23938879456708,190730.0,1.02,LG 에너지 솔루션
2024-12-27,10.404258015460652,10.328222025091877,10.410594347991383,10.315549360030415,5740000.0,0.8,파나소닉
2024-12-27,431.66,449.52,450.0,426.5,82670000.0,-4.95,테슬라
2024-12-26,454.13,465.16,465.33,451.02,76650000.0,-1.76,테슬라
2024-12-26,35.79698826,36.61226895,36.61226895,35.76273277,22440000.0,-2.51,CATL
2024-12-26,10.310126582278482,10.186708860759493,10.310126582278482,10.170886075949367,5350000.0,0.9,파나소닉
2024-12-26,234.82018703819833,239.5915696485536,239.9323826921504,234.13856095100473,171540.0,-1.57,LG 에너지 솔루션
2024-12-26,39.03207684,39.17732012,39.29789945,38.91423795,6760000.0,-0.37,BYD
2024-12-25,10.257306226175348,10.165184243964422,10.257306226175348,10.111181702668361,3560000.0,0.97,파나소닉
2024-12-25,39.18054128,39.56560466,39.92600206,39.15039397,8340000.0,-0.87,BYD
2024-12-25,36.72079479,36.84960603,37.12367249,36.48646797,11410000.0,-0.1,CATL
2024-12-24,462.28,435.9,462.78,435.14,59550000.0,7.36,테슬라
2024-12-24,36.77103611,36.05406739,36.77377786,36.05406739,19620000.0,1.8,CATL
2024-12-24,39.53883695,38.36947879,39.55117484,38.26529213,14230000.0,2.75,BYD
2024-12-24,239.90184587334554,247.7843350948983,248.1270520175745,239.90184587334554,167650.0,-2.51,LG 에너지 솔루션
2024-12-24,10.173050006362132,10.246214531110828,10.265300928871357,10.131696144547652,3500000.0,-1.24,파나소닉
2024-12-23,430.6,431.0,434.51,415.41,72700000.0,2.27,테슬라
2024-12-23,36.10429826,35.99605388,36.84145623,35.99605388,20640000.0,0.3,CATL
2024-12-23,10.301603461440571,10.21888521252227,10.327055230338509,10.167981674726393,7110000.0,1.95,파나소닉
2024-12-23,38.46101147,38.43360783,38.81588863,38.21163833,8150000.0,0.18,BYD
2024-12-23,247.36784080260185,247.36784080260185,249.09045807838598,237.7211840582107,281300.0,0.42,LG 에너지 솔루션
2024-12-20,38.40407889,39.06333521,39.30181878,38.40407889,9670000.0,-1.82,BYD
2024-12-20,421.06,425.51,447.08,417.64,132220000.0,-3.46,테슬라
2024-12-20,36.0069078,36.97728924,37.11571936,35.67933554,27740000.0,-2.62,CATL
2024-12-20,10.152803529186114,10.194360974362253,10.280672591266542,10.133623169874049,16940000.0,1.31,파나소닉
2024-12-20,247.4784884083153,259.59282000872236,260.97731504876884,246.4401171282804,352530.0,-3.9,LG 에너지 솔루션
2024-12-19,9.956806199580766,9.871053801689639,9.985390332211141,9.823413580639015,7880000.0,-1.14,파나소닉
2024-12-19,36.97526211,36.90262455,37.32611526,36.54080724,15350000.0,-0.6,CATL
2024-12-19,257.5249910004707,258.56339822224686,263.06316284994324,254.7559050757345,243290.0,-2.49,LG 에너지 솔루션
2024-12-19,39.11464401,38.62262729,39.3257041,38.37456315,8670000.0,0.26,BYD
2024-12-19,436.17,451.88,456.36,420.02,118570000.0,-0.9,테슬라
2024-12-18,440.13,466.49,488.54,427.01,149340000.0,-8.28,테슬라
2024-12-18,39.06593105,38.87379227,39.37198068,38.78870224,8410000.0,0.65,BYD
2024-12-18,262.6144420733806,264.33537550767534,265.7121222551112,261.58188201280376,203810.0,-0.26,LG 에너지 솔루션
2024-12-18,37.24884717,37.64684892,37.70449056,37.09788098,15090000.0,-0.87,CATL
2024-12-18,10.242248062015504,10.232558139534882,10.313307493540051,10.158268733850129,5540000.0,-0.78,파나소닉
2024-12-17,37.58614063,36.65266453,38.16269939,36.58951761,28210000.0,2.47,CATL
2024-12-17,266.1073195166239,277.2386060846395,281.76069125289587,263.32449787461996,389460.0,-3.89,LG 에너지 솔루션
2024-12-17,38.8216237,37.73988963,39.21423277,37.61085029,17570000.0,2.86,BYD
2024-12-17,479.86,475.9,483.99,457.51,131220000.0,3.64,테슬라
2024-12-17,10.411780036486839,10.476935105551213,10.623534010946052,10.379202501954653,9310000.0,-0.65,파나소닉
2024-12-16,277.00252643007775,277.6985126773895,280.13446454298065,274.56657456448664,203050.0,-0.5,LG 에너지 솔루션
2024-12-16,37.74918996,37.96474271,38.19265199,37.56109616,7150000.0,-0.56,BYD
2024-12-16,10.434641582873823,10.330846578008433,10.681154719429127,10.311385014596173,15070000.0,2.13,파나소닉
2024-12-16,463.02,441.09,463.19,436.15,114080000.0,6.14,테슬라
2024-12-16,36.68515569,36.55060684,37.0009336,36.25267725,16260000.000000002,0.06,CATL
2024-12-13,10.251236657120542,10.153605831814632,10.316323873991148,10.111299140848738,9330000.0,-0.13,파나소닉
